uid,lpips_diff
DZRIrpvL,0.48951396346092224
B4R_42VX,0.30579641461372375
f3ebTXXV,0.48201650381088257
wKdWEfcp,0.5806280970573425
gj3wKxg-,0.13667671382427216
ydM-m3Y3,0.663837194442749
Io_k9ISk,0.30170685052871704
GZsI-m4u,0.39612558484077454
4mpIk6oE,0.48279398679733276
IrcRBrEg,0.2664951682090759
H_tUDqH-,0.6085582375526428
RxO7Iejb,0.3904188871383667
UJOlJdWC,0.3719242513179779
Z8LLwxZB,0.6191017031669617
wYO2kQaj,0.6894012689590454
wdM9J_5V,0.5706608295440674
fg6oGQ9P,0.37947019934654236
kK86S2lg,0.17829275131225586
RsyhIgvM,0.3319791257381439
TZS4v6f5,0.4491336941719055
hZQDJyVS,0.478518009185791
qwQ5KDsC,0.47007718682289124
Zx9S6KWj,0.5776422023773193
XHV8eAlx,0.32996487617492676
lYAXdDpk,0.3282955586910248
p1Xf18wY,0.4971230924129486
3rxUrNl6,0.5052250623703003
bQFAELAW,0.2336181253194809
aUza6o5b,0.40219002962112427
p9CBF1rk,0.3380663990974426
iRp5ojHy,0.3607061803340912
GQAQZJzR,0.4013426899909973
hestrotn,0.3680441379547119
TQhhL80N,0.5513186454772949
GQOpPVYo,0.6662020087242126
eOgYAhR4,0.4016311466693878
qRRvAaSw,0.6018511056900024
EycoWkFO,0.4058111906051636
_5_KfSLH,0.4126039445400238
MRqITipC,0.592002272605896
jQHZwvEE,0.49037039279937744
oPoXO5z3,0.4188292622566223
sMRFpBLO,0.5557155609130859
0fLQGUU8,0.6193298101425171
91HsI5Os,0.2834540903568268
mZPhJkgL,0.21965625882148743
-mKkUiuW,0.542478084564209
xUMjFy_W,0.6342716813087463
5dgxYKbc,0.16753129661083221
i5gTjROQ,0.42149266600608826
d_xer8qd,0.41793572902679443
A9kDLHhV,0.17625324428081512
fzz4fAXz,0.12894009053707123
cpNS0M5T,0.3613477349281311
IMPXgFGi,0.38789016008377075
KPu7W9nB,0.44338294863700867
2mVTe-4-,0.500717043876648
lOEKmyFM,0.5979517698287964
FvO-w0aO,0.5606436133384705
r4e06Ak7,0.17297537624835968
RWnBMXr0,0.3205224275588989
_-sb-BlV,0.5020526051521301
9U_e-2Xo,0.4573996067047119
XijFssir,0.5537055730819702
e-8l6lvV,0.5778254270553589
a6Deyh2u,0.43323755264282227
sz1nn1Un,0.44600778818130493
NPrDBruh,0.4987258315086365
mCmRZ6w3,0.591702938079834
O263bdMC,0.420125812292099
nYPFG5xa,0.4328809976577759
3aLkMyNm,0.4527118504047394
PD5Q_ezq,0.23393850028514862
gGxCbXsK,0.14618229866027832
DQko2Tsi,0.30647191405296326
sv0tDHx1,0.5148757100105286
D5ms-pME,0.45920896530151367
o99LjmeN,0.5702452659606934
22U3WOlh,0.5066030025482178
Ji1ogwZg,0.5951155424118042
CxQptDL7,0.49640142917633057
5rvXN1oN,0.6137467622756958
T_RLLu74,0.34862855076789856
WnHjhslW,0.3261245787143707
bRvkh5FG,0.562593936920166
WtNLoC7d,0.43530797958374023
uhV-ZOQM,0.5557625889778137
dgaiIZzf,0.23527684807777405
SFjlM4SB,0.3662632703781128
CPJQZVaI,0.41945451498031616
ekZ5pPd2,0.4273344576358795
AtncIAYX,0.5599532127380371
DgCPnKbA,0.2979632318019867
EDU9tRdL,0.3693813383579254
XemEF63b,0.4219575524330139
zhf6Y7W3,0.688568115234375
NO79iz0l,0.10047180205583572
yRDz6ZNR,0.27761006355285645
Qn0BZopC,0.27716994285583496
PQUbNRt9,0.509276270866394
zOC-kVhb,0.3053849935531616
4B9qtRD9,0.3605126440525055
LmToy2Eq,0.43787601590156555
rBNIfxwV,0.4214589595794678
0QHADgxW,0.3298799395561218
sVqUV__K,0.26007816195487976
MSzmeMSQ,0.3772732615470886
_AI0hSK6,0.2741106152534485
h9AdYw8v,0.5122129321098328
pjl9yxqd,0.4371970593929291
pHneMnZ6,0.576852023601532
Uz3I2Sms,0.584080696105957
1jQSC0EC,0.4416765570640564
